date,year,month,year_month,day_of_week,plaza_id_raw,facility_id,facility_code,facility_name,facility_type,direction,direction_label,ezpass_vehicles,vtoll_vehicles,total_vehicles,ezpass_share_pct,congestion_period,latitude,longitude
2025-03-20,2025,3,2025-03,Thursday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,125666,21567,147233,85.35,After congestion pricing,40.7906,-73.9228
2025-03-19,2025,3,2025-03,Wednesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,126081,22148,148229,85.06,After congestion pricing,40.7906,-73.9228
2025-03-18,2025,3,2025-03,Tuesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,122502,21518,144020,85.06,After congestion pricing,40.7906,-73.9228
2025-03-17,2025,3,2025-03,Monday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,118512,20457,138969,85.28,After congestion pricing,40.7906,-73.9228
2025-03-16,2025,3,2025-03,Sunday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,112115,21020,133135,84.21,After congestion pricing,40.7906,-73.9228
2025-03-15,2025,3,2025-03,Saturday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,120527,23673,144200,83.58,After congestion pricing,40.7906,-73.9228
2025-03-14,2025,3,2025-03,Friday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,130731,24286,155017,84.33,After congestion pricing,40.7906,-73.9228
2025-03-13,2025,3,2025-03,Thursday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,125416,22194,147610,84.96,After congestion pricing,40.7906,-73.9228
2025-03-12,2025,3,2025-03,Wednesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,120304,20975,141279,85.15,After congestion pricing,40.7906,-73.9228
2025-03-11,2025,3,2025-03,Tuesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,114740,20317,135057,84.96,After congestion pricing,40.7906,-73.9228
2025-03-10,2025,3,2025-03,Monday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,119606,21820,141426,84.57,After congestion pricing,40.7906,-73.9228
2025-03-09,2025,3,2025-03,Sunday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,105775,19797,125572,84.23,After congestion pricing,40.7906,-73.9228
2025-03-08,2025,3,2025-03,Saturday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,114480,22337,136817,83.67,After congestion pricing,40.7906,-73.9228
2025-03-07,2025,3,2025-03,Friday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,131929,24050,155979,84.58,After congestion pricing,40.7906,-73.9228
2025-03-06,2025,3,2025-03,Thursday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,124859,21509,146368,85.3,After congestion pricing,40.7906,-73.9228
2025-03-05,2025,3,2025-03,Wednesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,118035,20488,138523,85.21,After congestion pricing,40.7906,-73.9228
2025-03-04,2025,3,2025-03,Tuesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,118798,20705,139503,85.16,After congestion pricing,40.7906,-73.9228
2025-03-03,2025,3,2025-03,Monday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,118318,20630,138948,85.15,After congestion pricing,40.7906,-73.9228
2025-03-02,2025,3,2025-03,Sunday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,104727,19883,124610,84.04,After congestion pricing,40.7906,-73.9228
2025-03-01,2025,3,2025-03,Saturday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,117347,23965,141312,83.04,After congestion pricing,40.7906,-73.9228
2025-02-28,2025,2,2025-02,Friday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,131203,24245,155448,84.4,After congestion pricing,40.7906,-73.9228
2025-02-27,2025,2,2025-02,Thursday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,127024,22507,149531,84.95,After congestion pricing,40.7906,-73.9228
2025-02-26,2025,2,2025-02,Wednesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,122710,21529,144239,85.07,After congestion pricing,40.7906,-73.9228
2025-02-25,2025,2,2025-02,Tuesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,120150,21228,141378,84.98,After congestion pricing,40.7906,-73.9228
2025-02-24,2025,2,2025-02,Monday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,117733,20600,138333,85.11,After congestion pricing,40.7906,-73.9228
2025-02-23,2025,2,2025-02,Sunday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,104297,19492,123789,84.25,After congestion pricing,40.7906,-73.9228
2025-02-22,2025,2,2025-02,Saturday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,110905,21474,132379,83.78,After congestion pricing,40.7906,-73.9228
2025-02-21,2025,2,2025-02,Friday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,123535,22640,146175,84.51,After congestion pricing,40.7906,-73.9228
2025-02-20,2025,2,2025-02,Thursday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,117377,20348,137725,85.23,After congestion pricing,40.7906,-73.9228
2025-02-19,2025,2,2025-02,Wednesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,118052,20808,138860,85.02,After congestion pricing,40.7906,-73.9228
2025-02-18,2025,2,2025-02,Tuesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,121951,20831,142782,85.41,After congestion pricing,40.7906,-73.9228
2025-02-17,2025,2,2025-02,Monday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,111651,20949,132600,84.2,After congestion pricing,40.7906,-73.9228
2025-02-16,2025,2,2025-02,Sunday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,87060,16777,103837,83.84,After congestion pricing,40.7906,-73.9228
2025-02-15,2025,2,2025-02,Saturday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,97512,19518,117030,83.32,After congestion pricing,40.7906,-73.9228
