indicator,borough,county,county_fips,period,period_start_year,period_end_year,period_midpoint,latitude,longitude,age_adjusted_rate_3yr_per_10000,age_adjusted_annual_rate_per_10000,event_count_3yr,crude_rate_3yr_per_10000,crude_annual_rate_per_10000,daily_mean_events,location_precision,source
Hospitalizations,Manhattan,New York County,36061,2004-2006,2004,2006,2005-07-01T00:00:00Z,40.7831,-73.9712,94.07,31.356,12989,82.53,27.509,11.851,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2004-2006,2004,2006,2005-07-01T00:00:00Z,40.7282,-73.7949,69.25,23.084,14462,66.16,22.054,13.195,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2004-2006,2004,2006,2005-07-01T00:00:00Z,40.5795,-74.1502,49.86,16.621,2257,49.37,16.457,2.059,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Bronx,Bronx,36005,2005-2007,2005,2007,2006-07-01T00:00:00Z,40.8448,-73.8648,780.65,260.218,107326,794.23,264.744,98.015,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Brooklyn,Kings,36047,2005-2007,2005,2007,2006-07-01T00:00:00Z,40.6782,-73.9442,389.95,129.984,93835,384.4,128.133,85.694,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Manhattan,New York County,36061,2005-2007,2005,2007,2006-07-01T00:00:00Z,40.7831,-73.9712,492.21,164.072,64910,411.42,137.139,59.279,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Queens,Queens,36081,2005-2007,2005,2007,2006-07-01T00:00:00Z,40.7282,-73.7949,262.24,87.413,53247,244.39,81.462,48.627,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Staten Island,Richmond,36085,2005-2007,2005,2007,2006-07-01T00:00:00Z,40.5795,-74.1502,232.7,77.567,10378,226.55,75.518,9.478,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2005-2007,2005,2007,2006-07-01T00:00:00Z,40.8448,-73.8648,194.56,64.854,25879,191.51,63.836,23.634,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2005-2007,2005,2007,2006-07-01T00:00:00Z,40.6782,-73.9442,100.53,33.51,23932,98.04,32.679,21.856,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
