indicator,borough,county,county_fips,period,period_start_year,period_end_year,period_midpoint,latitude,longitude,age_adjusted_rate_3yr_per_10000,age_adjusted_annual_rate_per_10000,event_count_3yr,crude_rate_3yr_per_10000,crude_annual_rate_per_10000,daily_mean_events,location_precision,source
Hospitalizations,Brooklyn,Kings,36047,2013-2015,2013,2015,2014-07-01T00:00:00Z,40.6782,-73.9442,73.13,24.375,18907,72.74,24.246,17.267,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2013-2015,2013,2015,2014-07-01T00:00:00Z,40.7831,-73.9712,63.88,21.292,9377,57.48,19.159,8.563,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2013-2015,2013,2015,2014-07-01T00:00:00Z,40.7282,-73.7949,47.7,15.901,10917,47.52,15.841,9.97,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2013-2015,2013,2015,2014-07-01T00:00:00Z,40.5795,-74.1502,50.47,16.824,2433,51.54,17.181,2.222,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Bronx,Bronx,36005,2014-2016,2014,2016,2015-07-01T00:00:00Z,40.8448,-73.8648,838.93,279.643,121368,843.74,281.246,110.737,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Brooklyn,Kings,36047,2014-2016,2014,2016,2015-07-01T00:00:00Z,40.6782,-73.9442,410.68,136.893,105158,403.48,134.495,95.947,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Manhattan,New York County,36061,2014-2016,2014,2016,2015-07-01T00:00:00Z,40.7831,-73.9712,439.16,146.386,61095,373.88,124.628,55.744,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Queens,Queens,36081,2014-2016,2014,2016,2015-07-01T00:00:00Z,40.7282,-73.7949,243.79,81.264,53080,230.4,76.801,48.431,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Staten Island,Richmond,36085,2014-2016,2014,2016,2015-07-01T00:00:00Z,40.5795,-74.1502,237.17,79.057,10652,225.31,75.103,9.719,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2014-2016,2014,2016,2015-07-01T00:00:00Z,40.8448,-73.8648,145.73,48.578,20964,145.74,48.58,19.128,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2014-2016,2014,2016,2015-07-01T00:00:00Z,40.6782,-73.9442,59.82,19.941,15466,59.34,19.781,14.111,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2014-2016,2014,2016,2015-07-01T00:00:00Z,40.7831,-73.9712,55.2,18.4,7862,48.11,16.038,7.173,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2014-2016,2014,2016,2015-07-01T00:00:00Z,40.7282,-73.7949,41.79,13.93,9525,41.34,13.782,8.691,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2014-2016,2014,2016,2015-07-01T00:00:00Z,40.5795,-74.1502,46.45,15.484,2216,46.87,15.624,2.022,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Bronx,Bronx,36005,2015-2017,2015,2017,2016-07-01T00:00:00Z,40.8448,-73.8648,775.5,258.5,112246,778.58,259.526,102.414,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Brooklyn,Kings,36047,2015-2017,2015,2017,2016-07-01T00:00:00Z,40.6782,-73.9442,382.02,127.339,97520,374.51,124.835,88.978,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Manhattan,New York County,36061,2015-2017,2015,2017,2016-07-01T00:00:00Z,40.7831,-73.9712,414.4,138.133,57804,353.74,117.914,52.741,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Queens,Queens,36081,2015-2017,2015,2017,2016-07-01T00:00:00Z,40.7282,-73.7949,233.81,77.935,50553,219.53,73.175,46.125,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Staten Island,Richmond,36085,2015-2017,2015,2017,2016-07-01T00:00:00Z,40.5795,-74.1502,218.98,72.994,9809,206.93,68.977,8.95,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2015-2017,2015,2017,2016-07-01T00:00:00Z,40.8448,-73.8648,124.11,41.37,17932,124.38,41.461,16.361,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2015-2017,2015,2017,2016-07-01T00:00:00Z,40.6782,-73.9442,46.44,15.481,11925,45.8,15.265,10.88,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2015-2017,2015,2017,2016-07-01T00:00:00Z,40.7831,-73.9712,45.71,15.235,6293,38.51,12.837,5.742,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2015-2017,2015,2017,2016-07-01T00:00:00Z,40.7282,-73.7949,35.17,11.725,7975,34.63,11.544,7.276,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2015-2017,2015,2017,2016-07-01T00:00:00Z,40.5795,-74.1502,39.66,13.22,1862,39.28,13.094,1.699,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Bronx,Bronx,36005,2016-2018,2016,2018,2017-07-01T00:00:00Z,40.8448,-73.8648,722.86,240.954,104146,723.72,241.239,95.024,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Brooklyn,Kings,36047,2016-2018,2016,2018,2017-07-01T00:00:00Z,40.6782,-73.9442,358.89,119.63,90928,350.57,116.856,82.964,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Manhattan,New York County,36061,2016-2018,2016,2018,2017-07-01T00:00:00Z,40.7831,-73.9712,388.7,129.566,54091,331.49,110.498,49.353,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Queens,Queens,36081,2016-2018,2016,2018,2017-07-01T00:00:00Z,40.7282,-73.7949,223.1,74.365,47621,207.73,69.244,43.45,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Staten Island,Richmond,36085,2016-2018,2016,2018,2017-07-01T00:00:00Z,40.5795,-74.1502,208,69.334,9303,195.72,65.24,8.488,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2016-2018,2016,2018,2017-07-01T00:00:00Z,40.8448,-73.8648,108.36,36.119,15597,108.38,36.128,14.231,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2016-2018,2016,2018,2017-07-01T00:00:00Z,40.6782,-73.9442,39.72,13.239,10051,38.75,12.917,9.171,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2016-2018,2016,2018,2017-07-01T00:00:00Z,40.7831,-73.9712,40.14,13.379,5304,32.51,10.835,4.839,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2016-2018,2016,2018,2017-07-01T00:00:00Z,40.7282,-73.7949,31.03,10.343,6873,29.98,9.994,6.271,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2016-2018,2016,2018,2017-07-01T00:00:00Z,40.5795,-74.1502,35.12,11.708,1605,33.77,11.255,1.464,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Bronx,Bronx,36005,2017-2019,2017,2019,2018-07-01T00:00:00Z,40.8448,-73.8648,663.07,221.023,94758,662.5,220.834,86.537,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Brooklyn,Kings,36047,2017-2019,2017,2019,2018-07-01T00:00:00Z,40.6782,-73.9442,327.74,109.248,82412,319.73,106.577,75.262,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Manhattan,New York County,36061,2017-2019,2017,2019,2018-07-01T00:00:00Z,40.7831,-73.9712,352.11,117.369,49141,301.57,100.525,44.878,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Queens,Queens,36081,2017-2019,2017,2019,2018-07-01T00:00:00Z,40.7282,-73.7949,204.55,68.184,43355,190.59,63.531,39.594,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Staten Island,Richmond,36085,2017-2019,2017,2019,2018-07-01T00:00:00Z,40.5795,-74.1502,204.87,68.289,9172,192.68,64.226,8.376,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2017-2019,2017,2019,2018-07-01T00:00:00Z,40.8448,-73.8648,100.66,33.552,14441,100.96,33.655,13.188,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2017-2019,2017,2019,2018-07-01T00:00:00Z,40.6782,-73.9442,37.91,12.635,9547,37.04,12.346,8.719,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2017-2019,2017,2019,2018-07-01T00:00:00Z,40.7831,-73.9712,37.34,12.446,4980,30.56,10.187,4.548,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2017-2019,2017,2019,2018-07-01T00:00:00Z,40.7282,-73.7949,29.7,9.898,6546,28.78,9.592,5.978,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2017-2019,2017,2019,2018-07-01T00:00:00Z,40.5795,-74.1502,30.68,10.228,1404,29.49,9.831,1.282,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
