timestamp_utc,date_utc,year,month,site_id,site_name,borough,latitude,longitude,pm25_daily_mean_ugm3,pm25_observed_mean_ugm3,pm25_hourly_max_ugm3,valid_hours,coverage_pct,coverage_status,quality_status
2025-01-03T00:00:00Z,2025-01-03,2025,1,36047NY07974,BQE,Brooklyn,40.7028,-73.96082,4.535,4.535,5.95,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-03T00:00:00Z,2025-01-03,2025,1,36061NY08454,Manhattan Bridge,Manhattan,40.71651,-73.997,5.874,5.874,8.23,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-03T00:00:00Z,2025-01-03,2025,1,36061NY08552,Williamsburg Bridge,Manhattan,40.71807,-73.98606,5.301,5.301,7.53,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-03T00:00:00Z,2025-01-03,2025,1,36061NY08653,FDR,Manhattan,40.72229,-73.97465,4.862,4.862,6.53,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-03T00:00:00Z,2025-01-03,2025,1,36061NY09734,Broadway/35th St,Manhattan,40.75069,-73.98783,6.595,6.595,19.21,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-03T00:00:00Z,2025-01-03,2025,1,36061NY09929,Midtown West,Manhattan,40.75514,-73.99086,7.814,7.814,12.16,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-03T00:00:00Z,2025-01-03,2025,1,36061NY10130,Queensboro Bridge,Manhattan,40.76123,-73.96389,4.811,4.811,6.88,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-03T00:00:00Z,2025-01-03,2025,1,36061NY12380,Hamilton Bridge,Manhattan,40.84654,-73.93302,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-03T00:00:00Z,2025-01-03,2025,1,36081NY07615,Van Wyck,Queens,40.69015,-73.80908,5.065,5.065,6.47,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-03T00:00:00Z,2025-01-03,2025,1,36081NY08198,Glendale,Queens,40.70574,-73.88627,,,,0,0.0,No data,Preliminary; subject to revision
